id;entity_type;entity_id;payload;status;retry_count;created_at_utc;last_attempt_utc
31;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718457485_28.594928_77.433287;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5949283,"longitude":77.4332866,"accuracy":10.020000457763672,"speed":17.65999984741211,"timestamp_utc":"2026-02-10T10:14:17.485452Z"};FAILED;1;2026-02-10T10:14:17.510566Z;
32;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718470111_28.596705_77.432091;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5967053,"longitude":77.4320907,"accuracy":14.557000160217285,"speed":17.520000457763672,"timestamp_utc":"2026-02-10T10:14:30.111954Z"};FAILED;1;2026-02-10T10:14:30.128366Z;
33;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718479131_28.597971_77.431019;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.5979708,"longitude":77.431019,"accuracy":10.675999641418457,"speed":18.540000915527344,"timestamp_utc":"2026-02-10T10:14:39.131558Z"};FAILED;1;2026-02-10T10:14:39.153135Z;
34;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718500126_28.600643_77.429418;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.600643,"longitude":77.4294177,"accuracy":18.70599937438965,"speed":13.4399995803833,"timestamp_utc":"2026-02-10T10:15:00.126543Z"};FAILED;1;2026-02-10T10:15:00.137685Z;
35;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718510113_28.600728_77.429318;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6007282,"longitude":77.4293182,"accuracy":8.63700008392334,"speed":2.809999942779541,"timestamp_utc":"2026-02-10T10:15:10.113314Z"};FAILED;1;2026-02-10T10:15:10.136255Z;
36;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718520113_28.601196_77.429065;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6011956,"longitude":77.4290649,"accuracy":9.045999526977539,"speed":6.46999979019165,"timestamp_utc":"2026-02-10T10:15:20.113503Z"};FAILED;1;2026-02-10T10:15:20.122748Z;
37;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718530131_28.601913_77.428509;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6019127,"longitude":77.4285094,"accuracy":8.20300006866455,"speed":8.720000267028809,"timestamp_utc":"2026-02-10T10:15:30.131299Z"};FAILED;1;2026-02-10T10:15:30.156568Z;
38;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718540137_28.602798_77.427909;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6027979,"longitude":77.4279087,"accuracy":9.093000411987305,"speed":12.170000076293945,"timestamp_utc":"2026-02-10T10:15:40.137297Z"};FAILED;1;2026-02-10T10:15:40.152807Z;
39;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718550123_28.603317_77.427606;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6033168,"longitude":77.4276064,"accuracy":9.720000267028809,"speed":5.139999866485596,"timestamp_utc":"2026-02-10T10:15:50.123902Z"};FAILED;1;2026-02-10T10:15:50.138012Z;
40;location;f83aaf96-9bf2-4c0f-95be-d01d48c2924f_1770718559149_28.603733_77.427289;{"event_type":"LOCATION_POINT","tracking_session_id":"f83aaf96-9bf2-4c0f-95be-d01d48c2924f","latitude":28.6037334,"longitude":77.4272893,"accuracy":4.828999996185303,"speed":4.730000019073486,"timestamp_utc":"2026-02-10T10:15:59.149526Z"};FAILED;1;2026-02-10T10:15:59.166632Z;
